S.no,OPERATION,OPERATOR,HEADER,DATE
1,cutting-0162,aslam-0009,cutting-0258,2021-01-17 10:38:38.165744
2,cutting-0174,aslam-0002,cutting-0258,2021-01-17 10:38:38.165780
3,cutting-0186,aslam-0006,cutting-0258,2021-01-17 10:38:38.165792
4,cutting-0198,aslam-0005,cutting-0258,2021-01-17 10:38:38.165802
5,cutting-0222,aslam-0008,cutting-0258,2021-01-17 10:38:38.165811
6,cutting-0234,aslam-0007,cutting-0258,2021-01-17 10:38:38.165821
7,cutting-0246,aslam-0004,cutting-0258,2021-01-17 10:38:38.165831
9,cutting-0210,aslam-0010,cutting-0258,2021-01-17 10:38:38.165842
10,cutting-0258,aslam-0010,cutting-0258,2021-01-17 10:38:38.165852
11,cutting-0258,aslam-0010,cutting-0258,2021-01-17 10:38:38.165862
12,cutting-0150,aslam-0003,cutting-0258,2021-01-17 10:38:38.165878
13,cutting-0162,aslam-0009,cutting-0258,2021-01-17 10:38:38.165889
14,cutting-0174,aslam-0002,cutting-0258,2021-01-17 10:38:38.165899
16,cutting-0198,aslam-0005,cutting-0258,2021-01-17 10:38:38.165909
18,cutting-0198,aslam-0005,cutting-0258,2021-01-17 10:38:38.165919
19,cutting-0234,aslam-0004,cutting-0258,2021-01-17 10:38:38.165928
21,cutting-0210,aslam-0010,cutting-0258,2021-01-17 10:38:38.165938
22,cutting-0258,aslam-0010,cutting-0258,2021-01-17 10:38:38.165948
23,cutting-0258,aslam-0010,cutting-0258,2021-01-17 10:38:38.165960
