S.no,OPERATION,OPERATOR,HEADER,DATE
1,cutting-0162,aslam-0009,cutting-0258,2021-01-17 17:41:38.646793
2,cutting-0174,aslam-0002,cutting-0258,2021-01-17 17:41:38.646821
3,cutting-0186,aslam-0006,cutting-0258,2021-01-17 17:41:38.646832
4,cutting-0198,aslam-0005,cutting-0258,2021-01-17 17:41:38.646842
5,cutting-0222,aslam-0008,cutting-0258,2021-01-17 17:41:38.646851
6,cutting-0234,aslam-0007,cutting-0258,2021-01-17 17:41:38.646861
7,cutting-0246,aslam-0004,cutting-0258,2021-01-17 17:41:38.646870
9,cutting-0210,aslam-0010,cutting-0258,2021-01-17 17:41:38.646880
10,cutting-0258,aslam-0010,cutting-0258,2021-01-17 17:41:38.646890
11,cutting-0258,aslam-0010,cutting-0258,2021-01-17 17:41:38.646899
12,cutting-0150,aslam-0003,cutting-0258,2021-01-17 17:41:38.646909
13,cutting-0162,aslam-0009,cutting-0258,2021-01-17 17:41:38.646918
14,cutting-0174,aslam-0002,cutting-0258,2021-01-17 17:41:38.646927
16,cutting-0198,aslam-0005,cutting-0258,2021-01-17 17:41:38.646936
18,cutting-0198,aslam-0005,cutting-0258,2021-01-17 17:41:38.646946
19,cutting-0234,aslam-0004,cutting-0258,2021-01-17 17:41:38.646954
21,cutting-0210,aslam-0010,cutting-0258,2021-01-17 17:41:38.646964
22,cutting-0258,aslam-0010,cutting-0258,2021-01-17 17:41:38.646973
23,cutting-0258,aslam-0010,cutting-0258,2021-01-17 17:41:38.646982
1,cutting-0162,aslam-0009,cutting-0258,2021-01-17 17:41:38.646992
2,cutting-0174,aslam-0002,cutting-0258,2021-01-17 17:41:38.647001
3,cutting-0186,aslam-0006,cutting-0258,2021-01-17 17:41:38.647011
4,cutting-0198,aslam-0005,cutting-0258,2021-01-17 17:41:38.647020
5,cutting-0222,aslam-0008,cutting-0258,2021-01-17 17:41:38.647030
6,cutting-0234,aslam-0007,cutting-0258,2021-01-17 17:41:38.647039
7,cutting-0246,aslam-0004,cutting-0258,2021-01-17 17:41:38.647048
9,cutting-0210,aslam-0010,cutting-0258,2021-01-17 17:41:38.647057
10,cutting-0258,aslam-0010,cutting-0258,2021-01-17 17:41:38.647066
11,cutting-0258,aslam-0010,cutting-0258,2021-01-17 17:41:38.647076
12,cutting-0150,aslam-0003,cutting-0258,2021-01-17 17:41:38.647086
13,cutting-0162,aslam-0009,cutting-0258,2021-01-17 17:41:38.647095
14,cutting-0174,aslam-0002,cutting-0258,2021-01-17 17:41:38.647105
16,cutting-0198,aslam-0005,cutting-0258,2021-01-17 17:41:38.647114
18,cutting-0198,aslam-0005,cutting-0258,2021-01-17 17:41:38.647124
19,cutting-0234,aslam-0004,cutting-0258,2021-01-17 17:41:38.647133
21,cutting-0210,aslam-0010,cutting-0258,2021-01-17 17:41:38.647142
22,cutting-0258,aslam-0010,cutting-0258,2021-01-17 17:41:38.647151
23,cutting-0258,aslam-0010,cutting-0258,2021-01-17 17:41:38.647161
