DATE,OPERATION,OPERATOR
2020-12-30 16:25:21.647719,001.001.004.068,901295
2020-12-30 16:25:21.647750,001.001.004.201,901295
2020-12-30 16:25:21.647759,001.001.004.228,901295
2020-12-30 16:25:21.647767,001.001.004.202,901295
2020-12-30 16:25:21.647776,001.001.004.230,901295
2020-12-30 16:25:21.647788,001.001.004.234E,901295
2020-12-30 16:25:21.647801,001.001.004.232,901295
2020-12-30 16:25:21.647813,001.001.004.233,901295
2020-12-30 16:25:21.647827,001.001.004.235,901295
2020-12-30 16:25:21.647839,001.001.004.242,901295
